Sequence Number: 141
00>
00>
Printing STS0 CIR
00>
00>
_________________________________
00>
-45,15,
-4,-7,
3,40,
-16,21,
-13,29,
20,31,
2,-36,
48,-22,
-14,42,
14,77,
-37,48,
-16,7,
7,-4,
-47,8,
-4,-20,
14,-3,
-20,-5,
-34,-9,
22,-7,
42,-26,
50,-3,
25,-21,
36,48,
-7,36,
9,12,
80,1,
-8,-25,
6,7,
-15,27,
-14,31,
9,-3,
49,-2,
24,25,
18,-1,
-31,19,
-6,15,
22,30,
66,60,
48,10,
2,-8,
12,-41,
50,-7,
-3,24,
21,30,
-34,-3,
-33,37,
-48,31,
-26,23,
50,-50,
33,-55,
-11,26,
-34,14,
-10,27,
68,2,
18,55,
4,3,
-25,16,
1,17,
38,2,
-8,-21,
1,26,
34,25,
-20,-16,
-10,39,
-25,55,
6,16,
-14,-48,
-8,-59,
-60,45,
-43,97,
-63,60,
10,-2,
10,-35,
30,-18,
6,25,
6,42,
-5,48,
-23,35,
-20,33,
-32,-24,
-56,-8,
-109,-12,
-85,-10,
-27,-13,
38,-45,
-48,46,
-11,58,
-47,1,
1,56,
79,11,
109,-2,
45,-8,
43,-31,
39,37,
4,151,
21,-14,
85,-42,
42,-26,
3,-55,
16,-6,
-22,-19,
-3,-4,
8,5,
-46,-7,
-21,19,
11,32,
6,-9,
27,11,
-10,55,
-2,58,
19,35,
-3,38,
-22,-54,
9,29,
-31,2,
-57,11,
-27,-3,
8,6,
-1,41,
0,28,
-10,-18,
70,34,
-41,-32,
37,18,
17,-14,
-7,46,
-24,93,
-2,7,
31,52,
-51,-33,
-22,-1,
-3,-9,
33,31,
-19,1,
79,33,
10,-2,
6,47,
4,3,
-7,12,
43,1,
-19,-21,
-32,-21,
-41,30,
-13,14,
2,-14,
-34,11,
-103,-11,
-75,-25,
-88,-16,
-8,63,
-24,-7,
18,-12,
-18,-41,
42,-10,
31,-9,
14,10,
-5,58,
27,92,
27,63,
15,40,
8,4,
-4,36,
14,-16,
35,-21,
-8,-6,
16,6,
4,41,
7,7,
-36,72,
11,-21,
-19,7,
-13,25,
-13,32,
-86,-9,
-61,-10,
22,-14,
-49,-28,
8,19,
25,44,
23,29,
74,11,
-19,20,
44,20,
-5,35,
1,23,
-79,-8,
-7,-60,
11,-6,
-39,10,
34,72,
18,27,
50,-1,
28,9,
32,33,
30,-25,
22,-15,
52,-43,
37,4,
-7,-21,
6,-55,
-17,-21,
-32,1,
37,47,
9,16,
-32,31,
-17,2,
14,31,
-18,-11,
9,40,
-36,-31,
-37,33,
-13,33,
11,110,
13,55,
18,13,
-33,17,
-24,32,
-9,14,
65,92,
28,-23,
2,-54,
-26,-50,
-2,-35,
39,28,
32,-23,
32,31,
77,1,
7,26,
41,-13,
26,-6,
-8,-51,
-15,15,
18,63,
11,55,
50,29,
-4,-18,
33,-25,
-47,15,
-64,-43,
-12,21,
11,34,
66,36,
64,-2,
24,21,
-29,-19,
-40,6,
-27,5,
17,-36,
62,-42,
4,13,
-40,-2,
-16,-11,
-25,-2,
-10,53,
-41,22,
25,-49,
-2,-45,
43,-73,
78,9,
80,11,
4,-5,
18,20,
-29,-9,
65,-56,
16,36,
22,71,
25,53,
12,-11,
-62,-72,
-11,-40,
-28,-22,
29,-4,
42,18,
56,24,
11,0,
32,20,
-27,26,
-39,29,
-16,29,
45,48,
42,-27,
-15,-20,
-16,-35,
-7,23,
-35,-22,
-46,-5,
1,37,
-22,29,
42,3,
36,-65,
-30,33,
-23,70,
39,40,
57,2,
-2,-2,
-23,51,
23,66,
4,99,
59,57,
45,38,
-33,8,
11,6,
6,-12,
10,-20,
-6,12,
12,24,
37,27,
40,18,
-18,-29,
-11,38,
52,0,
39,27,
2,1,
-53,57,
-56,-29,
-46,-8,
-41,-4,
20,2,
12,-7,
8,-1,
37,-73,
-21,-37,
33,4,
43,8,
