Sequence Number: 120
00>
00>
Printing STS0 CIR
00>
00>
_________________________________
00>
-26,13,
3,-1,
52,36,
38,17,
4,-20,
7,-2,
50,-22,
20,-7,
14,38,
-64,49,
-10,-35,
42,-63,
-63,-13,
-10,-72,
-10,15,
-14,27,
-31,62,
-58,27,
6,14,
48,55,
6,41,
25,1,
46,-4,
70,29,
-9,-16,
45,-128,
53,-55,
39,-70,
28,-38,
-24,-47,
64,9,
-27,-63,
37,-3,
7,45,
15,8,
-57,27,
1,0,
-16,13,
-6,55,
55,-22,
103,-33,
68,30,
-14,-7,
-30,54,
47,-9,
53,-8,
70,-18,
27,-12,
12,-1,
10,13,
43,6,
98,-36,
116,-5,
151,-56,
124,-32,
12,34,
-66,-5,
-125,22,
-4,31,
83,13,
-4,-70,
-51,-86,
7,-70,
-60,7,
38,73,
41,45,
68,-3,
29,58,
28,16,
0,10,
7,34,
15,58,
-23,8,
46,-24,
40,-39,
8,35,
10,13,
-33,-6,
14,92,
11,45,
13,0,
8,-11,
-14,-6,
30,20,
58,-15,
111,-41,
52,-14,
-27,-5,
-81,-7,
4,39,
-24,-40,
75,3,
60,-103,
44,-51,
10,2,
10,22,
12,57,
95,23,
16,19,
8,66,
15,29,
27,18,
79,31,
-4,-9,
-26,58,
-83,32,
-32,24,
-65,-80,
-15,-42,
42,-54,
-65,19,
-44,14,
-22,25,
30,43,
-6,-2,
-49,10,
-63,-19,
32,5,
21,-3,
71,-5,
40,21,
33,7,
44,-20,
60,19,
15,85,
-32,93,
-11,67,
-2,33,
35,8,
-11,53,
-43,0,
-16,20,
53,20,
10,-7,
-37,-9,
-9,28,
32,59,
30,30,
-30,-11,
-10,3,
16,-35,
18,-39,
3,2,
27,-9,
15,32,
-3,99,
-8,72,
40,-35,
29,-31,
-17,35,
-41,46,
-61,95,
-11,5,
12,24,
-21,29,
-10,25,
-50,31,
-10,-29,
32,-53,
27,-29,
55,5,
-35,12,
-25,21,
44,65,
25,74,
-59,27,
-91,46,
-30,30,
55,37,
45,-1,
-9,-54,
-45,25,
46,27,
-2,22,
59,8,
44,25,
-65,22,
-8,-20,
60,-23,
48,23,
19,-47,
26,7,
-5,23,
19,-28,
35,-13,
44,-23,
86,8,
64,13,
-28,-6,
45,-13,
68,5,
21,12,
-22,26,
-8,-48,
14,-13,
-31,-26,
59,-4,
36,32,
58,-12,
43,-18,
47,-28,
-43,60,
-59,22,
17,39,
-40,76,
-30,29,
-1,38,
31,20,
15,24,
-7,-5,
104,32,
82,-22,
72,-19,
48,-14,
-2,-19,
-19,-60,
8,-48,
-49,-21,
-14,-29,
2,10,
-12,-15,
53,-28,
22,-33,
-31,-6,
-15,30,
2,65,
18,82,
-19,53,
-102,-19,
-84,25,
-58,18,
37,62,
47,47,
-14,59,
-13,17,
-24,28,
89,12,
50,37,
-7,40,
-72,-16,
2,16,
16,35,
-29,-17,
-45,-47,
2,-64,
15,-19,
34,-2,
-40,-48,
-36,5,
-35,80,
-10,88,
-6,80,
-2,-31,
70,-14,
55,-9,
8,-9,
-25,-25,
-45,-6,
12,14,
99,-20,
90,-43,
87,-23,
50,-19,
13,-2,
-81,-35,
12,21,
104,-11,
8,-56,
69,-82,
44,-95,
50,-29,
72,16,
66,-27,
30,-22,
10,-24,
-15,13,
33,52,
77,-39,
50,-75,
-43,9,
36,55,
13,51,
41,-46,
-1,-67,
19,17,
-15,3,
-1,-44,
-72,-99,
0,20,
0,36,
69,36,
50,-2,
16,-26,
-18,28,
78,-19,
37,50,
46,47,
6,-11,
49,-64,
5,-90,
1,-38,
-19,-1,
4,5,
65,7,
66,-18,
7,-73,
17,-26,
27,-31,
-23,46,
8,24,
-69,70,
-55,112,
-1,3,
-30,-13,
-21,56,
-87,63,
19,79,
-13,45,
-1,0,
7,6,
31,16,
12,4,
25,-27,
30,-18,
28,-48,
36,-36,
80,-36,
-5,-23,
-5,-27,
7,2,
8,26,
38,-57,
8,-15,
-62,4,
-19,55,
9,6,
84,-16,
46,18,
13,70,
-12,30,
-73,-70,
0,-5,
-59,24,
20,111,
30,58,
-40,-8,
18,21,
16,39,
-8,6,
-31,39,
-10,43,
3,4,
31,-78,
17,-78,
-217,-74,
-1141,-764,
-3703,-4247,
-4438,-6578,
-3910,-6459,
-1542,-539,
-207,4611,
-582,3526,
-2047,171,
-4302,-1564,
-5297,-1381,
-3577,-156,
-1058,381,
8,-293,
-546,-1654,
-1008,-2296,
-318,-1403,
492,-226,
989,463,
857,-292,
1390,-550,
1274,-222,
399,320,
-556,610,
-838,173,
-533,-440,
-17,-417,
277,-197,
189,80,
191,139,
186,108,
225,278,
177,230,
159,175,
353,142,
453,-134,
573,-82,
518,240,
513,293,
512,52,
229,-125,
-79,-259,
-35,-439,
246,-347,
463,-96,
531,61,
520,220,
457,218,
365,51,
325,-53,
233,-32,
82,-19,
-31,39,
-76,55,
-54,-8,
1,-38,
47,94,
-102,395,
-201,364,
-315,157,
-148,-133,
-12,-195,
72,-119,
-53,-36,
-62,-23,
111,-151,
360,-224,
390,-167,
212,-27,
-26,1,
-150,-152,
41,-105,
149,-76,
139,-6,
139,107,
293,186,
471,188,
653,304,
662,639,
416,822,
39,519,
-147,115,
-240,-124,
-157,26,
-105,93,
-21,153,
43,182,
-67,87,
-135,5,
-211,-55,
-55,46,
108,177,
130,206,
91,158,
18,118,
-64,-4,
-42,-16,
76,4,
132,-1,
85,-13,
39,-20,
22,11,
17,169,
38,223,
34,83,
98,86,
39,72,
137,2,
116,62,
89,65,
114,66,
160,98,
159,163,
200,178,
111,120,
27,65,
56,39,
93,-16,
95,8,
49,40,
42,92,
146,135,
143,127,
158,56,
123,94,
164,21,
91,-1,
123,14,
88,64,
82,115,
53,79,
17,51,
-10,58,
80,114,
88,106,
38,121,
-16,126,
16,-9,
87,48,
150,106,
179,126,
87,132,
133,116,
120,148,
113,122,
75,134,
23,100,
31,-2,
64,-10,
106,20,
174,83,
54,76,
30,94,
-2,95,
35,25,
60,55,
27,49,
85,14,
00>
_________________________________
00>
00>
Printing STS1 CIR
00>
00>
_________________________________
00>
-26,6,
8,-33,
9,-13,
27,26,
14,-7,
28,-53,
38,-15,
18,-17,
11,29,
37,2,
-6,33,
-32,-41,
26,-15,
15,68,
48,28,
-5,-39,
54,-57,
67,-2,
-9,-5,
31,-9,
73,-77,
57,-14,
69,-13,
20,57,
-20,27,
3,-10,
-1,-9,
35,9,
41,12,
76,-36,
76,35,
21,22,
-68,-7,
-6,-10,
76,9,
18,36,
-35,-8,
33,-46,
3,-12,
46,49,
54,-84,
44,-35,
37,-31,
1,15,
43,25,
-14,28,
40,-16,
71,-34,
120,-25,
-21,3,
-16,32,
11,-3,
-36,-13,
35,-50,
70,49,
0,-20,
22,-33,
43,34,
-3,10,
64,0,
-2,22,
-11,63,
46,-8,
14,-51,
-13,-31,
36,22,
93,-1,
21,8,
-66,-5,
11,31,
55,34,
39,10,
0,-57,
39,-31,
25,52,
60,46,
13,-23,
-31,-70,
-16,-34,
-2,-51,
8,-28,
53,-39,
17,-56,
15,-24,
-84,66,
-34,-15,
4,-25,
-15,-84,
-8,-149,
18,-58,
