行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,45.7262,1.6570,-44.9473,-0.2457,3.332018,-0.003547,129.5254,9.152780,-16.596922,0.003496,0.667992,合法
2,45.7525,2.8388,-45.6785,-0.9255,4.811925,-0.056981,133.5752,0.004357,2.270138,0.000000,0.813922,合法
3,46.4954,3.0292,-46.3876,-1.0664,4.260585,-0.103832,130.9975,-0.034615,2.223163,0.000181,0.280509,合法
4,46.3759,2.3919,-45.1763,-0.2642,4.598402,-0.014606,133.5249,0.009078,2.213597,0.000071,0.598580,合法
5,46.6117,3.8451,-44.5832,-0.7919,4.627099,-0.000000,132.7564,-0.002491,2.268296,0.001206,0.627099,合法
6,46.9154,2.5839,-46.8778,-1.7636,3.589100,-0.116280,128.0357,9.638058,-18.424818,0.001544,0.427037,合法
7,45.4803,2.1727,-44.6130,0.1125,4.649980,-0.002172,136.0297,0.046803,2.047397,0.003294,0.649983,合法
8,45.0755,2.7850,-45.5449,-0.7825,5.027018,-0.048120,134.7838,0.022845,2.258258,0.000053,1.028145,合法
9,48.9670,3.8809,-44.1911,0.3848,3.831880,-0.000000,129.4775,-0.034438,2.148919,0.003360,0.168120,合法
10,49.3692,4.1117,-45.2296,-0.5072,4.210485,-0.016906,129.5999,-0.028123,2.239012,0.000097,0.211163,合法
