行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,45.7262,1.6570,-44.9473,-0.2457,4.643859,-0.000002,134.2739,0.005982,2.260822,0.000005,0.643859,合法
2,45.7525,2.8388,-45.6785,-0.9255,4.809181,-0.056970,133.5685,0.004205,2.269936,0.000000,0.811184,合法
3,46.4954,3.0292,-46.3876,-1.0664,4.649330,-0.112612,132.1172,-0.008027,2.238763,0.000000,0.659022,合法
4,46.3759,2.3919,-45.1763,-0.2642,4.633851,-0.014258,133.4480,0.005031,2.253908,0.000000,0.634011,合法
5,46.6117,3.8451,-44.5832,-0.7919,4.779994,-0.030215,135.4320,-9.248402,19.496323,0.044615,0.780579,合法
6,46.9154,2.5839,-46.8778,-1.7636,4.636377,-0.145769,131.1935,-0.029950,2.272245,0.000268,0.652858,合法
7,45.4803,2.1727,-44.6130,0.1125,4.698398,-0.000000,134.5122,0.015696,2.249367,0.000298,0.698398,合法
8,45.0755,2.7850,-45.5449,-0.7825,4.459656,-0.010078,136.2625,-9.987984,20.000000,0.037392,0.459767,合法
9,48.9670,3.8809,-44.1911,0.3848,4.406457,-0.000000,131.0021,0.002407,2.220062,0.001151,0.406457,合法
10,49.3692,4.1117,-45.2296,-0.5072,4.249963,-0.044990,129.5412,-0.016540,2.201126,0.000867,0.253979,合法
