行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,42.5495,2.1793,-48.6409,-2.2380,4.749594,-0.303769,133.9783,-0.008761,2.113594,0.000350,0.808806,合法
2,43.2814,2.3701,-44.4983,0.9853,4.528612,-0.000001,135.8176,0.022805,2.188610,0.001716,0.528612,合法
3,43.7737,2.4914,-47.7473,-1.9420,3.580529,-0.174439,129.7346,-0.096406,2.121441,0.001994,0.454296,合法
4,43.1627,1.0692,-43.9672,0.9421,2.239203,-0.002307,128.0256,-0.183968,1.896612,0.014346,1.760798,合法
5,46.4715,4.0731,-47.0896,-1.2355,3.316467,-0.127084,127.4019,9.858852,-17.289556,0.002514,0.695246,合法
6,45.0652,2.1174,-45.7043,-1.2145,4.472576,-0.055857,133.3890,-0.018072,2.237412,0.000121,0.475865,合法
7,45.1282,3.0542,-45.2885,0.0493,7.665665,-0.037587,139.8051,-6.612045,20.000000,0.004479,3.665857,合法
8,43.3786,2.1770,-43.9672,0.9421,3.653821,-0.000006,133.4031,-0.035538,2.096184,0.006036,0.346179,合法
9,45.8161,2.3486,-42.0552,2.4304,2.193626,-0.000013,126.6087,6.880644,-8.286184,0.022964,1.806374,合法
10,49.4679,4.8046,-41.1775,2.0970,1.805279,-0.000012,121.0372,-0.204676,1.695026,0.030741,2.194721,合法
