行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,42.5495,2.1793,-48.6409,-2.2380,4.953753,-0.315214,133.8097,-0.010898,2.212178,0.000000,1.004492,合法
2,43.2814,2.3701,-44.4983,0.9853,4.637660,-0.000000,137.8207,-9.638769,20.000000,0.019144,0.637660,合法
3,43.7737,2.4914,-47.7473,-1.9420,4.900192,-0.235149,133.4788,-0.008482,2.232785,0.000000,0.930398,合法
4,43.1627,1.0692,-43.9672,0.9421,4.737478,-0.000000,136.7856,0.033270,2.216909,0.002167,0.737478,合法
5,46.4715,4.0731,-47.0896,-1.2355,4.727803,-0.172535,131.4378,-0.006326,2.222170,0.000000,0.747974,合法
6,45.0652,2.1174,-45.7043,-1.2145,4.841995,-0.059510,134.2308,0.001168,2.282438,0.000000,0.844095,合法
7,45.1282,3.0542,-45.2885,0.0493,4.851427,-0.024437,134.5831,0.023449,2.249184,0.000000,0.851778,合法
8,43.3786,2.1770,-43.9672,0.9421,4.917316,-0.000028,136.5659,0.039013,2.238942,0.002363,0.917316,合法
9,45.8161,2.3486,-42.0552,2.4304,4.205193,-0.000000,133.8336,0.032941,2.112732,0.014400,0.205193,合法
10,49.4679,4.8046,-41.1775,2.0970,3.994773,-0.000000,129.9521,0.018316,2.096751,0.022453,0.005227,合法
