行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,41.2971,3.6126,-42.9909,-6.3311,3.622961,-0.003013,139.6794,0.015243,1.355247,0.021474,1.622963,合法
2,41.7315,3.1675,-44.5479,-7.7948,3.337995,-0.032322,142.5916,-8.862030,12.558378,0.116342,1.338385,合法
3,42.2262,2.8230,-41.6020,-4.9429,3.170264,-0.000228,140.8032,-8.963619,12.292028,0.103336,1.170264,合法
4,42.7171,3.5458,-43.9256,-6.9998,2.229661,-0.064939,131.1026,9.734142,-11.685593,0.069903,0.238666,合法
5,40.5418,2.3959,-42.3102,-5.5013,3.471356,-0.000046,140.3229,0.021995,1.323968,0.032750,1.471356,合法
6,42.6248,3.8776,-41.5959,-5.1332,2.905395,-0.004051,132.8351,9.299634,-15.146134,0.116353,0.905404,合法
7,42.6962,3.1363,-42.9951,-6.5614,3.394783,-0.007703,134.4513,9.312016,-17.858024,0.102808,1.394805,合法
8,41.0783,2.6284,-42.3194,-5.8551,3.711124,-0.004041,143.3597,-8.113285,12.598009,0.113870,1.711129,合法
9,39.8568,2.1506,-41.5994,-6.1443,2.993313,-0.001685,138.9612,0.002583,1.256950,0.043864,0.993315,合法
10,43.0102,4.3709,-43.0538,-6.3416,3.284850,-0.000296,132.9361,8.333398,-15.638250,0.125694,1.284850,合法
