Group,Main_Angle_Mean,Secondary_Angle_Mean,Num_Packets
1,-2.2972,-49.6113,10
2,-3.3266,-50.4059,10
3,-3.3728,-50.6410,10
4,-2.8403,-50.5394,10
5,-4.0156,-54.4138,10
6,-3.5792,-49.8830,10
7,-2.3576,-48.9752,10
8,-3.5264,-51.3056,10
9,-3.3564,-48.8679,10
10,-2.5388,-51.1644,10
