Group,Main_Angle_Mean,Secondary_Angle_Mean,Num_Packets
1,-4.6491,35.1222,10
2,-4.3973,41.3020,10
3,-5.4100,40.5002,10
4,-5.5582,47.4312,10
5,-5.2340,39.8867,10
6,-4.4236,34.8350,10
7,-4.6199,31.4090,10
8,-5.2983,42.0853,10
9,-4.3162,42.2203,10
10,-4.5632,39.8643,10
