行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性,备注
1,46.4968,3.2039,-35.2707,-3.3412,-3.327673,-0.560486,-47.9350,8.176703,16.794606,0.008285,0.875310,合法,正常
2,47.7040,3.4537,-34.8237,-3.0689,-6.234251,-1.119055,-37.5313,0.068610,-2.811567,0.000000,2.498832,合法,正常
3,48.3209,3.4004,-35.8181,-3.7920,-5.849618,-0.941377,-39.0246,0.048632,-2.667709,0.000226,2.075398,合法,正常
4,48.4514,3.7097,-35.2579,-3.4609,-3.231899,-0.545309,-51.7733,6.008242,12.083061,0.009804,0.941987,合法,正常
5,47.4705,3.7512,-35.4214,-3.6197,-6.330082,-1.068221,-37.8938,0.063228,-2.811883,0.000000,2.563274,合法,正常
6,46.2764,3.5800,-35.3114,-3.5733,-6.528454,-1.114588,-36.5986,0.073411,-2.828963,0.000000,2.763220,合法,正常
7,46.9102,3.0921,-34.7661,-2.8776,-6.303958,-1.138073,-36.5421,0.077059,-2.798018,0.000003,2.569715,合法,正常
8,47.0052,2.9847,-34.7640,-3.1225,-6.303351,-1.138240,-36.7649,0.070818,-2.824263,0.000000,2.569244,合法,正常
9,46.7926,3.1445,-35.1728,-3.3019,-6.322802,-1.095230,-36.9657,0.068842,-2.807868,0.000000,2.568061,合法,正常
10,46.5394,2.9889,-35.8181,-3.7920,-5.076762,-0.814314,-38.5077,0.057787,-2.294536,0.004883,1.350009,合法,正常
