Group,Main_Angle_Mean,Secondary_Angle_Mean,Num_Packets
1,41.2971,3.6126,10
2,41.7315,3.1675,10
3,42.2262,2.8230,10
4,42.7171,3.5458,10
5,40.5418,2.3959,10
6,42.6248,3.8776,10
7,42.6962,3.1363,10
8,41.0783,2.6284,10
9,39.8568,2.1506,10
10,43.0102,4.3709,10
