Group,Main_Angle_Mean,Secondary_Angle_Mean,Num_Packets
1,-39.2276,-6.1889,10
2,-38.8753,-6.1976,10
3,-40.0873,-6.3656,10
4,-39.2672,-5.3744,10
5,-38.3659,-5.5526,10
6,-40.2034,-7.0088,10
7,-39.7719,-6.0768,10
8,-39.7152,-5.9664,10
9,-39.7123,-5.8340,10
10,-41.3692,-7.0569,10
