行号,phi1(°),phi2(°),theta1(°),theta2(°),发射端x,发射端y,发射端朝向(°),反射面a,反射面b,残差,distance_error,合法性
1,46.0470,2.5532,-47.1501,-1.1837,3.445748,-0.132290,128.2091,9.753562,-17.788004,0.001868,0.569821,合法
2,46.6498,3.4523,-45.4545,-0.4413,4.096996,-0.034150,131.1805,-0.032459,2.205111,0.000427,0.102832,合法
3,46.7975,3.1391,-45.1900,-0.4341,4.683457,-0.017855,132.7018,-0.003137,2.315593,0.000150,0.683690,合法
4,46.6155,3.4251,-46.6784,-1.5224,5.625355,-0.163594,133.4622,0.031586,2.327352,0.000546,1.633567,合法
5,46.9939,3.6737,-43.7776,0.3266,3.028734,-0.000001,127.6568,8.954340,-14.758168,0.008486,0.971266,合法
6,46.0428,3.0744,-44.1111,-0.3544,5.354121,-0.001179,134.5340,0.063789,2.167449,0.008621,1.354121,合法
7,44.9167,2.7923,-45.9103,-1.3697,5.357649,-0.084414,135.1348,0.028209,2.296259,0.000137,1.360271,合法
8,46.6187,2.5776,-49.2852,-3.1523,5.647099,-0.422654,131.8525,0.009853,2.239699,0.001120,1.700462,合法
9,49.1301,4.2478,-42.8050,1.2818,2.072094,-0.003140,122.5948,-0.182436,1.787019,0.018619,1.927908,合法
10,47.8214,3.8767,-45.8819,-0.0803,4.376598,-0.067669,130.9205,-0.008083,2.201768,0.000020,0.382630,合法
